,date,close,open,high,low
223,2023-11-15,14103.84,14147.27,14194.36,14060.7
224,2023-11-14,14094.38,14015.37,14124.06,14003.14
225,2023-11-13,13767.74,13745.96,13805.11,13687.78
226,2023-11-10,13798.11,13571.19,13802.53,13556.35
227,2023-11-09,13521.45,13693.7,13697.82,13506.02
228,2023-11-08,13650.41,13660.22,13684.87,13573.58
229,2023-11-07,13639.86,13555.79,13675.46,13516.56
230,2023-11-06,13518.78,13514.08,13551.62,13435.99
231,2023-11-03,13478.28,13362.85,13520.28,13344.73
232,2023-11-02,13294.19,13230.49,13302.18,13177.64
233,2023-11-01,13061.47,12887.06,13072.42,12875.2
234,2023-10-31,12851.24,12786.62,12859.4,12697.04
235,2023-10-30,12789.48,12750.47,12842.96,12691.56
236,2023-10-27,12643.01,12718.69,12772.43,12600.57
237,2023-10-26,12595.61,12768.97,12818.14,12543.86
238,2023-10-25,12821.22,13039.86,13042.52,12804.3
239,2023-10-24,13139.87,13084.99,13170.39,13022.85
240,2023-10-23,13018.33,12930.85,13143.22,12848.83
241,2023-10-20,12983.81,13157.77,13177.35,12977.43
242,2023-10-19,13186.18,13354.8,13404.73,13157.33
243,2023-10-18,13314.3,13439.68,13499.74,13275.3
244,2023-10-17,13533.75,13419.87,13602.25,13364.74
245,2023-10-16,13567.98,13453.81,13598.05,13447.17
246,2023-10-13,13407.23,13613.59,13619.54,13361.85
247,2023-10-12,13574.22,13672.47,13714.14,13491.56
248,2023-10-11,13659.68,13619.21,13671.11,13549.29
249,2023-10-10,13562.84,13505.81,13659.63,13491.81
250,2023-10-09,13484.24,13326.22,13509.3,13277.48
251,2023-10-06,13431.34,13127.68,13472.27,13099.03
252,2023-10-05,13219.83,13228.12,13251.18,13087.57
253,2023-10-04,13236.01,13092.92,13258.76,13072.51
254,2023-10-03,13059.47,13229.68,13280.04,13008.6
255,2023-10-02,13307.77,13217.98,13364.03,13204.08
256,2023-09-29,13219.32,13337.71,13382.98,13177.09
257,2023-09-28,13201.28,13043.37,13270.97,13025.11
258,2023-09-27,13092.85,13115.36,13156.37,12963.16
259,2023-09-26,13063.61,13180.96,13199.13,13033.4
260,2023-09-25,13271.32,13172.54,13277.83,13132.0
261,2023-09-22,13211.81,13287.17,13353.22,13200.64
262,2023-09-21,13223.98,13328.06,13362.23,13222.56
263,2023-09-20,13469.13,13710.26,13727.81,13467.28
264,2023-09-19,13678.19,13649.44,13705.15,13578.87
